,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
5139,,no,countryside,1988,male,YES,26_39,I have heard just a little about it,I would vote against it,‰Û_ stop working,"It increases appreciation for household work and volunteering | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,,United Kingdom,GB
5140,medium,no,city,1991,male,NO,14_25,I know something about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward | It increases dependence on the state,,United Kingdom,GB
5141,,no,urban,43 years old,Male,yES,40_65,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,United Kingdom,GB
5142,medium,no,urban,45 years old,male,nO,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,,United Kingdom,GB
5143,,yes,Non-Rural,42 years old,Male,yES,40_65,I have never heard of it,I would vote against it,None of the above,None of the above,None of the above,data modeling specialist,United Kingdom,GB
5144,medium,yes,rural,46 years old,male,YES,40_65,I have never heard of it,I would probably vote for it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone",It is impossible to finance,data warehousing specialist,United Kingdom,GB
5145,medium,yes,urban,41 years old,Fem,YES,40_65,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,data processor,United Kingdom,GB
5146,high,no,urban,31 years old,Fem,YES,26_39,I have never heard of it,I would probably vote for it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working,,United Kingdom,GB
5147,high,yes,rural,45 years old,male,YES,40_65,I understand it fully,I would vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces anxiety about financing basic needs",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,data entry associate,United Kingdom,GB
5148,high,no,rural,1998,Fem,nO,juvenile,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It is against the principle of linking merit and reward | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance,,United Kingdom,GB
5149,high,no,urban,31 years old,Fem,YES,26_39,I understand it fully,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,,United Kingdom,GB
